Time resolution is 1 ps
WARNING: File kernel.mem referenced from process on C:/vivado/arm.xpr/arm/arm.srcs/sources_1/new/conv_weights.v at line 29 cannot be opened for reading. Please ensure that this file is available in the current working directory or parent directory of xsim.dir location specified via -xsimdir switch.
Time=535000 | p0=48 p1=47 p2=46 p3=45 p4=44 p5=43 p6=42 p7=41 p8=40 | result=x
Time=545000 | p0=49 p1=48 p2=47 p3=46 p4=45 p5=44 p6=43 p7=42 p8=41 | result=x
Time=555000 | p0=50 p1=49 p2=48 p3=47 p4=46 p5=45 p6=44 p7=43 p8=42 | result=x
Time=565000 | p0=51 p1=50 p2=49 p3=48 p4=47 p5=46 p6=45 p7=44 p8=43 | result=x
Time=575000 | p0=52 p1=51 p2=50 p3=49 p4=48 p5=47 p6=46 p7=45 p8=44 | result=x
Time=585000 | p0=53 p1=52 p2=51 p3=50 p4=49 p5=48 p6=47 p7=46 p8=45 | result=x
Time=595000 | p0=54 p1=53 p2=52 p3=51 p4=50 p5=49 p6=48 p7=47 p8=46 | result=x
Time=605000 | p0=55 p1=54 p2=53 p3=52 p4=51 p5=50 p6=49 p7=48 p8=47 | result=x
Time=615000 | p0=56 p1=55 p2=54 p3=53 p4=52 p5=51 p6=50 p7=49 p8=48 | result=x
Time=625000 | p0=57 p1=56 p2=55 p3=54 p4=53 p5=52 p6=51 p7=50 p8=49 | result=x
Time=635000 | p0=58 p1=57 p2=56 p3=55 p4=54 p5=53 p6=52 p7=51 p8=50 | result=x
Time=645000 | p0=59 p1=58 p2=57 p3=56 p4=55 p5=54 p6=53 p7=52 p8=51 | result=x
Time=655000 | p0=60 p1=59 p2=58 p3=57 p4=56 p5=55 p6=54 p7=53 p8=52 | result=x
Time=665000 | p0=61 p1=60 p2=59 p3=58 p4=57 p5=56 p6=55 p7=54 p8=53 | result=x
Time=675000 | p0=62 p1=61 p2=60 p3=59 p4=58 p5=57 p6=56 p7=55 p8=54 | result=x
Time=685000 | p0=63 p1=62 p2=61 p3=60 p4=59 p5=58 p6=57 p7=56 p8=55 | result=x
Time=695000 | p0=64 p1=63 p2=62 p3=61 p4=60 p5=59 p6=58 p7=57 p8=56 | result=x
Time=705000 | p0=65 p1=64 p2=63 p3=62 p4=61 p5=60 p6=59 p7=58 p8=57 | result=x
Time=715000 | p0=66 p1=65 p2=64 p3=63 p4=62 p5=61 p6=60 p7=59 p8=58 | result=x
Time=725000 | p0=67 p1=66 p2=65 p3=64 p4=63 p5=62 p6=61 p7=60 p8=59 | result=x
Time=735000 | p0=68 p1=67 p2=66 p3=65 p4=64 p5=63 p6=62 p7=61 p8=60 | result=x
Time=745000 | p0=69 p1=68 p2=67 p3=66 p4=65 p5=64 p6=63 p7=62 p8=61 | result=x
Time=755000 | p0=70 p1=69 p2=68 p3=67 p4=66 p5=65 p6=64 p7=63 p8=62 | result=x
Time=765000 | p0=71 p1=70 p2=69 p3=68 p4=67 p5=66 p6=65 p7=64 p8=63 | result=x
Time=775000 | p0=72 p1=71 p2=70 p3=69 p4=68 p5=67 p6=66 p7=65 p8=64 | result=x
Time=785000 | p0=73 p1=72 p2=71 p3=70 p4=69 p5=68 p6=67 p7=66 p8=65 | result=x
Time=795000 | p0=74 p1=73 p2=72 p3=71 p4=70 p5=69 p6=68 p7=67 p8=66 | result=x
Time=805000 | p0=75 p1=74 p2=73 p3=72 p4=71 p5=70 p6=69 p7=68 p8=67 | result=x
Time=815000 | p0=76 p1=75 p2=74 p3=73 p4=72 p5=71 p6=70 p7=69 p8=68 | result=x
Time=825000 | p0=77 p1=76 p2=75 p3=74 p4=73 p5=72 p6=71 p7=70 p8=69 | result=x
Time=835000 | p0=78 p1=77 p2=76 p3=75 p4=74 p5=73 p6=72 p7=71 p8=70 | result=x
Time=845000 | p0=79 p1=78 p2=77 p3=76 p4=75 p5=74 p6=73 p7=72 p8=71 | result=x
Time=855000 | p0=80 p1=79 p2=78 p3=77 p4=76 p5=75 p6=74 p7=73 p8=72 | result=x
Time=865000 | p0=81 p1=80 p2=79 p3=78 p4=77 p5=76 p6=75 p7=74 p8=73 | result=x
Time=875000 | p0=82 p1=81 p2=80 p3=79 p4=78 p5=77 p6=76 p7=75 p8=74 | result=x
Time=885000 | p0=83 p1=82 p2=81 p3=80 p4=79 p5=78 p6=77 p7=76 p8=75 | result=x
Time=895000 | p0=84 p1=83 p2=82 p3=81 p4=80 p5=79 p6=78 p7=77 p8=76 | result=x
Time=905000 | p0=85 p1=84 p2=83 p3=82 p4=81 p5=80 p6=79 p7=78 p8=77 | result=x
Time=915000 | p0=86 p1=85 p2=84 p3=83 p4=82 p5=81 p6=80 p7=79 p8=78 | result=x
Time=925000 | p0=87 p1=86 p2=85 p3=84 p4=83 p5=82 p6=81 p7=80 p8=79 | result=x
Time=935000 | p0=88 p1=87 p2=86 p3=85 p4=84 p5=83 p6=82 p7=81 p8=80 | result=x
Time=945000 | p0=89 p1=88 p2=87 p3=86 p4=85 p5=84 p6=83 p7=82 p8=81 | result=x
Time=955000 | p0=90 p1=89 p2=88 p3=87 p4=86 p5=85 p6=84 p7=83 p8=82 | result=x
Time=965000 | p0=91 p1=90 p2=89 p3=88 p4=87 p5=86 p6=85 p7=84 p8=83 | result=x
Time=975000 | p0=92 p1=91 p2=90 p3=89 p4=88 p5=87 p6=86 p7=85 p8=84 | result=x
Time=985000 | p0=93 p1=92 p2=91 p3=90 p4=89 p5=88 p6=87 p7=86 p8=85 | result=x
Time=995000 | p0=94 p1=93 p2=92 p3=91 p4=90 p5=89 p6=88 p7=87 p8=86 | result=x
